"rules","support","confidence","lift","count"
"{1045} => {1008}",0.0114820609371271,0.77737881508079,2.34319658664469,433
"{1007} => {1008}",0.0121449974808411,0.468302658486708,1.41157074208235,458
"{1046} => {1034}",0.0139747023414919,0.707382550335571,2.46453283034966,527
"{1074} => {1009}",0.0141338071119832,0.796711509715994,5.67418087684605,533
"{1036} => {1040}",0.0110312640874016,0.47816091954023,10.309849306336,416
"{1014} => {1000}",0.0117737530163613,0.521739130434783,18.0839194373402,444
"{1000} => {1014}",0.0117737530163613,0.408088235294118,18.0839194373402,444
"{1014} => {1040}",0.0117207180928642,0.519388954171563,11.1987860781954,442
"{1040} => {1014}",0.0117207180928642,0.252715837621498,11.1987860781954,442
"{1052} => {1018}",0.0107926069316645,0.416581371545548,2.58298258835155,407
"{1052} => {1008}",0.017713664448039,0.683725690890481,2.06090476613947,668
"{1032} => {1008}",0.0158044072021426,0.355820895522388,1.07252512117695,596
"{1020} => {1004}",0.0149293309644401,0.442610062893082,1.70545295614192,563
"{1020} => {1008}",0.0101827053114476,0.30188679245283,0.909955465605362,384
"{1030} => {1017}",0.0163347564371138,0.487727632620744,3.1211092404142,616
"{1030} => {1018}",0.0108456418551616,0.323832145684877,2.00789773856008,409
"{1030} => {1004}",0.0154861976611599,0.462391132224861,1.78167283001244,584
"{1030} => {1008}",0.0107660894699159,0.321456848772763,0.968944067146485,406
"{1037} => {1035}",0.0108191243934131,0.302895322939866,5.58011017263571,408
"{1037} => {1009}",0.0327490652594734,0.916852264291017,6.52982355782409,1235
"{1037} => {1017}",0.0188539153032272,0.527839643652561,3.37779752278665,711
"{1037} => {1018}",0.0122245498660868,0.342242019302153,2.12204682504168,461
"{1037} => {1004}",0.0105009148524303,0.293986636971047,1.13278124724789,396
"{1037} => {1008}",0.0146641563469545,0.410541945063103,1.23746681242704,553
"{1038} => {1041}",0.0125957943305667,0.365665896843726,7.94333331559548,475
"{1041} => {1038}",0.0125957943305667,0.273617511520737,7.94333331559548,475
"{1038} => {1026}",0.0278963697594866,0.809853733641263,8.17243621871706,1052
"{1026} => {1038}",0.0278963697594866,0.281509232004282,8.17243621871706,1052
"{1038} => {1034}",0.0110577815491501,0.321016166281755,1.1184257803632,417
"{1038} => {1008}",0.0149028135026915,0.432640492686682,1.30407686193809,562
"{1025} => {1026}",0.035612951128318,0.552220394736842,5.57259387367435,1343
"{1026} => {1025}",0.035612951128318,0.359379181161359,5.57259387367435,1343
"{1040} => {1017}",0.0152475405054228,0.328759291023442,2.1038251525174,575
"{1040} => {1008}",0.0152475405054228,0.328759291023442,0.990955289248263,575
"{1041} => {1026}",0.0285062713797035,0.619239631336406,6.24890172259224,1075
"{1026} => {1041}",0.0285062713797035,0.287663901525288,6.24890172259224,1075
"{1041} => {1034}",0.017050727904325,0.370391705069124,1.29045099684606,643
"{1041} => {1008}",0.0192516772294556,0.418202764976959,1.26055826632932,726
"{1035} => {1003}",0.0241043727294423,0.444064484611627,4.86947245687382,909
"{1003} => {1035}",0.0241043727294423,0.264321023553359,4.86947245687382,909
"{1035} => {1001}",0.0292752777704118,0.539325842696629,3.95229631829238,1104
"{1035} => {1009}",0.0326960303359762,0.602344894968246,4.28990147953683,1233
"{1035} => {1018}",0.0455835167457771,0.839765510503175,5.20690515728136,1719
"{1018} => {1035}",0.0455835167457771,0.282637290365012,5.20690515728136,1719
"{1035} => {1004}",0.0158044072021426,0.291157791890572,1.12188121896243,596
"{1035} => {1008}",0.0271273633687783,0.499755740107474,1.50637748502861,1023
"{1026} => {1034}",0.0286653761501949,0.289269467487289,1.00781974209286,1081
"{1026} => {1008}",0.0283206491474636,0.285790741236286,0.861438305711899,1068
"{1003} => {1001}",0.0557662220572247,0.611514975283513,4.48131388125079,2103
"{1001} => {1003}",0.0557662220572247,0.408666925767586,4.48131388125079,2103
"{1003} => {1018}",0.047041977141948,0.515847630125036,3.19847582697225,1774
"{1018} => {1003}",0.047041977141948,0.291680368299901,3.19847582697225,1774
"{1003} => {1004}",0.0393519132348652,0.431520790927595,1.66272407751819,1484
"{1003} => {1008}",0.031741401713028,0.348066298342541,1.04915100126254,1197
"{1001} => {1018}",0.0589748349288006,0.432180334240187,2.6797028254738,2224
"{1018} => {1001}",0.0589748349288006,0.365669187767182,2.6797028254738,2224
"{1001} => {1004}",0.0484739200763703,0.355227361057132,1.36875232582257,1828
"{1001} => {1008}",0.0369123067539975,0.270501360279829,0.815352633483545,1392
"{1009} => {1017}",0.0385563893824083,0.274598677998111,1.75723582996552,1454
"{1009} => {1018}",0.044257643658349,0.315203021718602,1.95439348109671,1669
"{1018} => {1009}",0.044257643658349,0.274416310424203,1.95439348109671,1669
"{1009} => {1004}",0.0389011163851396,0.277053824362606,1.06753619807277,1467
"{1009} => {1008}",0.0775105406910451,0.552030217186025,1.66394465033188,2923
"{1017} => {1004}",0.0500384503195354,0.320210419141354,1.23382600554201,1887
"{1017} => {1034}",0.0472275993741879,0.302222976412693,1.05294998738905,1781
"{1017} => {1008}",0.0612288191774283,0.391820804344137,1.1810370356184,2309
"{1018} => {1004}",0.0442841611200976,0.274580730023019,1.05800693878595,1670
"{1018} => {1034}",0.0427196308769325,0.264879973692864,0.922846331109719,1611
"{1018} => {1008}",0.072737397576304,0.451002959552779,1.35942551416312,2743
"{1034} => {1008}",0.161544376972236,0.562823355506282,1.69647762445028,6092
"{1008} => {1034}",0.161544376972236,0.486931500279754,1.69647762445028,6092
"{1035,1037} => {1009}",0.0105539497759274,0.975490196078431,6.94744301875613,398
"{1009,1037} => {1035}",0.0105539497759274,0.322267206477733,5.9369900456677,398
"{1009,1035} => {1037}",0.0105539497759274,0.322789943227899,9.03692022944864,398
"{1009,1037} => {1017}",0.0167855532868394,0.512550607287449,3.27995858669897,633
"{1017,1037} => {1009}",0.0167855532868394,0.890295358649789,6.34068522569258,633
"{1009,1017} => {1037}",0.0167855532868394,0.4353507565337,12.1882051816202,633
"{1009,1037} => {1018}",0.0118267879398584,0.361133603238866,2.2391827214306,446
"{1018,1037} => {1009}",0.0118267879398584,0.967462039045553,6.89026646920621,446
"{1009,1018} => {1037}",0.0118267879398584,0.267225883762732,7.48133281557267,446
"{1009,1037} => {1004}",0.0101296703879505,0.309311740890688,1.19183151739335,382
"{1004,1037} => {1009}",0.0101296703879505,0.964646464646465,6.87021394301848,382
"{1004,1009} => {1037}",0.0101296703879505,0.260395364689843,7.29010363609404,382
"{1009,1037} => {1008}",0.0139216674179948,0.425101214574899,1.28135176267557,525
"{1008,1037} => {1009}",0.0139216674179948,0.949367088607595,6.76139419801341,525
"{1038,1041} => {1026}",0.0113759910901329,0.903157894736842,9.11399180316325,429
"{1026,1038} => {1041}",0.0113759910901329,0.407794676806084,8.85849369644828,429
"{1026,1041} => {1038}",0.0113759910901329,0.39906976744186,11.585311778291,429
"{1026,1038} => {1034}",0.0101827053114476,0.365019011406844,1.27173244079485,384
"{1034,1038} => {1026}",0.0101827053114476,0.920863309352518,9.29266156248135,384
"{1026,1034} => {1038}",0.0101827053114476,0.35522664199815,10.312511082673,384
"{1026,1038} => {1008}",0.0124632070218239,0.446768060836502,1.34666056607828,470
"{1008,1038} => {1026}",0.0124632070218239,0.836298932384342,8.43930132168742,470
"{1008,1026} => {1038}",0.0124632070218239,0.440074906367041,12.7757234749865,470
"{1026,1041} => {1034}",0.0114025085518814,0.4,1.39360679970436,430
"{1034,1041} => {1026}",0.0114025085518814,0.668740279937792,6.74842512623336,430
"{1026,1034} => {1041}",0.0114025085518814,0.397779833487512,8.64094199346057,430
"{1026,1041} => {1008}",0.0116146482458699,0.407441860465116,1.22812245224203,438
"{1008,1041} => {1026}",0.0116146482458699,0.603305785123967,6.08810930233072,438
"{1008,1026} => {1041}",0.0116146482458699,0.410112359550562,8.90884054781753,438
"{1034,1041} => {1008}",0.0108456418551616,0.636080870917574,1.91729244050616,409
"{1008,1041} => {1034}",0.0108456418551616,0.5633608815427,1.96275888801337,409
"{1003,1035} => {1001}",0.0175280422157991,0.727172717271727,5.32887880704122,661
"{1001,1035} => {1003}",0.0175280422157991,0.598731884057971,6.56550685656009,661
"{1001,1003} => {1035}",0.0175280422157991,0.314312886352829,5.79045102943407,661
"{1003,1035} => {1009}",0.010156187849699,0.421342134213421,3.00079947560384,383
"{1009,1035} => {1003}",0.010156187849699,0.310624493106245,3.40621118334679,383
"{1003,1009} => {1035}",0.010156187849699,0.512717536813922,9.44557451430866,383
"{1003,1035} => {1018}",0.0212139693988491,0.88008800880088,5.45692188423051,800
"{1018,1035} => {1003}",0.0212139693988491,0.465386852821408,5.10328688768482,800
"{1003,1018} => {1035}",0.0212139693988491,0.450958286358512,8.30781042348111,800
"{1001,1035} => {1009}",0.0121449974808411,0.414855072463768,2.95459860957151,458
"{1009,1035} => {1001}",0.0121449974808411,0.371451743714517,2.72207864500936,458
"{1001,1009} => {1035}",0.0121449974808411,0.46782431052094,8.61852592772602,458
"{1001,1035} => {1018}",0.0239717854206995,0.818840579710145,5.07716164114589,904
"{1018,1035} => {1001}",0.0239717854206995,0.525887143688191,3.85381462798783,904
"{1001,1018} => {1035}",0.0239717854206995,0.406474820143885,7.48831067046705,904
"{1001,1035} => {1004}",0.0102357402349447,0.34963768115942,1.34721432453284,386
"{1004,1035} => {1001}",0.0102357402349447,0.647651006711409,4.74612652819548,386
"{1009,1035} => {1018}",0.0284002015327093,0.868613138686131,5.38577278411587,1071
"{1018,1035} => {1009}",0.0284002015327093,0.62303664921466,4.4372681923577,1071
"{1009,1018} => {1035}",0.0284002015327093,0.641701617735171,11.8217927241871,1071
"{1009,1035} => {1008}",0.0223542202540373,0.683698296836983,2.06082219423063,843
"{1008,1035} => {1009}",0.0223542202540373,0.824046920821114,5.86886372636167,843
"{1008,1009} => {1035}",0.0223542202540373,0.28840232637701,5.31311193454002,843
"{1018,1035} => {1004}",0.0132056959507836,0.289703315881326,1.11627687189136,498
"{1004,1035} => {1018}",0.0132056959507836,0.835570469798658,5.18089411157139,498
"{1004,1018} => {1035}",0.0132056959507836,0.298203592814371,5.49367644778835,498
"{1018,1035} => {1008}",0.0243960648086765,0.535194880744619,1.61319911659822,920
"{1008,1035} => {1018}",0.0243960648086765,0.899315738025415,5.576142025103,920
"{1008,1018} => {1035}",0.0243960648086765,0.33539919795844,6.17891507289239,920
"{1026,1034} => {1008}",0.0160430643578797,0.559666975023127,1.68696357566119,605
"{1008,1026} => {1034}",0.0160430643578797,0.566479400749064,1.97362386194087,605
"{1003,1009} => {1001}",0.0119328577868526,0.602409638554217,4.41458800612477,450
"{1001,1009} => {1003}",0.0119328577868526,0.459652706843718,5.04040803366777,450
"{1003,1017} => {1001}",0.0132587308742807,0.682128240109141,4.99878314472518,500
"{1001,1017} => {1003}",0.0132587308742807,0.411522633744856,4.51262868309167,500
"{1001,1003} => {1018}",0.0334650367266845,0.600095102234902,3.72084616908589,1262
"{1003,1018} => {1001}",0.0334650367266845,0.711386696730552,5.21319543731167,1262
"{1001,1018} => {1003}",0.0334650367266845,0.567446043165468,6.22243609590374,1262
"{1001,1003} => {1004}",0.0228050171037628,0.408939610080837,1.57571489074879,860
"{1003,1004} => {1001}",0.0228050171037628,0.579514824797844,4.24680986357394,860
"{1001,1004} => {1003}",0.0228050171037628,0.470459518599562,5.1589121564141,860
"{1001,1003} => {1008}",0.0171037628278221,0.306704707560628,0.924477757718714,645
"{1003,1008} => {1001}",0.0171037628278221,0.538847117794486,3.94878811876173,645
"{1001,1008} => {1003}",0.0171037628278221,0.463362068965517,5.0810837402613,645
"{1003,1009} => {1018}",0.0132852483360293,0.670682730923695,4.15851964252934,501
"{1003,1018} => {1009}",0.0132852483360293,0.282412626832018,2.01134326165481,501
"{1009,1018} => {1003}",0.0132852483360293,0.300179748352307,3.2916773742698,501
"{1003,1009} => {1008}",0.0112699212431386,0.568942436412316,1.71492192626847,425
"{1003,1008} => {1009}",0.0112699212431386,0.355054302422723,2.52869741240101,425
"{1003,1017} => {1018}",0.011004746625653,0.566166439290587,3.51047395463455,415
"{1017,1018} => {1003}",0.011004746625653,0.300289435600579,3.29288017037901,415
"{1003,1017} => {1004}",0.0110577815491501,0.568894952251023,2.19205042856221,417
"{1003,1004} => {1017}",0.0110577815491501,0.28099730458221,1.79818247973863,417
"{1003,1018} => {1004}",0.0187743629179815,0.399098083427283,1.53779379014267,708
"{1003,1004} => {1018}",0.0187743629179815,0.477088948787062,2.95815543369104,708
"{1004,1018} => {1003}",0.0187743629179815,0.423952095808383,4.64892628235823,708
"{1003,1018} => {1008}",0.0194638169234441,0.413754227733935,1.2471493631264,734
"{1003,1008} => {1018}",0.0194638169234441,0.613199665831245,3.80210006546565,734
"{1008,1018} => {1003}",0.0194638169234441,0.267590229675538,2.93431089016988,734
"{1003,1004} => {1008}",0.0137890801092519,0.350404312668464,1.05619830829194,520
"{1003,1008} => {1004}",0.0137890801092519,0.434419381787803,1.6738928483294,520
"{1003,1034} => {1008}",0.0108721593169102,0.663430420711974,1.99973020505709,410
"{1003,1008} => {1034}",0.0108721593169102,0.342522974101921,1.1933558644085,410
"{1001,1009} => {1017}",0.0113229561666357,0.436159346271706,2.79110896101346,427
"{1001,1017} => {1009}",0.0113229561666357,0.351440329218107,2.50295868841247,427
"{1009,1017} => {1001}",0.0113229561666357,0.293672627235213,2.15209647214674,427
"{1001,1009} => {1018}",0.0155922675081541,0.600612870275792,3.72405655228056,588
"{1001,1018} => {1009}",0.0155922675081541,0.264388489208633,1.88297531946115,588
"{1009,1018} => {1001}",0.0155922675081541,0.35230677052127,2.58178014440879,588
"{1001,1009} => {1004}",0.0121449974808411,0.46782431052094,1.80260780362268,458
"{1001,1004} => {1009}",0.0121449974808411,0.25054704595186,1.78439653444582,458
"{1004,1009} => {1001}",0.0121449974808411,0.312201772324472,2.28788205132689,458
"{1001,1009} => {1008}",0.0137625626475034,0.530132788559755,1.59794081922923,519
"{1001,1008} => {1009}",0.0137625626475034,0.372844827586207,2.65540156621406,519
"{1001,1017} => {1018}",0.0148232611174458,0.460082304526749,2.85270696909047,559
"{1001,1018} => {1017}",0.0148232611174458,0.251348920863309,1.60845395463707,559
"{1017,1018} => {1001}",0.0148232611174458,0.404486251808973,2.9641626587579,559
"{1001,1017} => {1004}",0.0160165468961311,0.497119341563786,1.91548661384612,604
"{1001,1004} => {1017}",0.0160165468961311,0.330415754923414,2.11442534089884,604
"{1004,1017} => {1001}",0.0160165468961311,0.320084790673026,2.34565051322784,604
"{1001,1017} => {1008}",0.0129140038715494,0.40082304526749,1.20817183758951,487
"{1001,1008} => {1017}",0.0129140038715494,0.34985632183908,2.23883111367276,487
"{1001,1018} => {1004}",0.0213200392458434,0.361510791366906,1.39296346717456,804
"{1001,1004} => {1018}",0.0213200392458434,0.439824945295405,2.72710268201825,804
"{1004,1018} => {1001}",0.0213200392458434,0.481437125748503,3.52807529131399,804
"{1001,1034} => {1018}",0.0118798228633555,0.481720430107527,2.9868725977943,448
"{1018,1034} => {1001}",0.0118798228633555,0.278088144009932,2.03789001141829,448
"{1001,1018} => {1008}",0.0204184455463923,0.346223021582734,1.04359494580021,770
"{1001,1008} => {1018}",0.0204184455463923,0.55316091954023,3.42983417244025,770
"{1008,1018} => {1001}",0.0204184455463923,0.28071454611739,2.05713685360142,770
"{1001,1004} => {1008}",0.0153536103524171,0.316739606126915,0.9547252247344,579
"{1001,1008} => {1004}",0.0153536103524171,0.415948275862069,1.60272048953045,579
"{1004,1008} => {1001}",0.0153536103524171,0.252948885976409,1.85366409620217,579
"{1001,1034} => {1008}",0.0150088833496858,0.608602150537634,1.83446532642672,566
"{1001,1008} => {1034}",0.0150088833496858,0.406609195402299,1.41663334883741,566
"{1009,1017} => {1018}",0.0143724642677203,0.372764786795048,2.31130103170471,542
"{1009,1018} => {1017}",0.0143724642677203,0.324745356500899,2.07813883234437,542
"{1017,1018} => {1009}",0.0143724642677203,0.392185238784371,2.79314401129318,542
"{1009,1017} => {1004}",0.0150884357349315,0.391334250343879,1.50787840142209,569
"{1004,1009} => {1017}",0.0150884357349315,0.387866394001363,2.48206848535303,569
"{1004,1017} => {1009}",0.0150884357349315,0.301536830948596,2.14754587949056,569
"{1009,1017} => {1034}",0.0105274323141789,0.273039889958735,0.951275618092557,397
"{1009,1034} => {1017}",0.0105274323141789,0.34018851756641,2.1769640566684,397
"{1009,1017} => {1008}",0.0181909787595131,0.471801925722146,1.42211832954263,686
"{1008,1017} => {1009}",0.0181909787595131,0.297098310957124,2.11593473172882,686
"{1009,1018} => {1004}",0.0147967436556973,0.334331935290593,1.2882386442979,558
"{1004,1009} => {1018}",0.0147967436556973,0.380368098159509,2.35844481251122,558
"{1004,1018} => {1009}",0.0147967436556973,0.334131736526946,2.37968685857746,558
"{1009,1018} => {1034}",0.0120389276338469,0.272019173157579,0.947719423405901,454
"{1009,1034} => {1018}",0.0120389276338469,0.389031705227078,2.41216287994382,454
"{1018,1034} => {1009}",0.0120389276338469,0.281812538795779,2.00706943352741,454
"{1009,1018} => {1008}",0.0297525920818859,0.672258837627322,2.02634106192662,1122
"{1008,1009} => {1018}",0.0297525920818859,0.383852206637017,2.38004777449664,1122
"{1008,1018} => {1009}",0.0297525920818859,0.409041195771054,2.91319216878606,1122
"{1004,1009} => {1008}",0.0188539153032272,0.484662576687117,1.46088325708959,711
"{1004,1008} => {1009}",0.0188539153032272,0.310615989515072,2.21220766394766,711
"{1009,1034} => {1008}",0.023759645726711,0.767780634104542,2.31426548578981,896
"{1008,1009} => {1034}",0.023759645726711,0.30653438248375,1.06797099943133,896
"{1017,1018} => {1004}",0.0150619182731829,0.410998552821997,1.58364835245431,568
"{1004,1017} => {1018}",0.0150619182731829,0.301006889242183,1.86637139102466,568
"{1004,1018} => {1017}",0.0150619182731829,0.340119760479042,2.17652406031311,568
"{1017,1018} => {1034}",0.0111638513961444,0.304630969609262,1.06133947662,421
"{1018,1034} => {1017}",0.0111638513961444,0.261328367473619,1.67231530049171,421
"{1017,1018} => {1008}",0.0186948105327358,0.51013024602026,1.53764860584046,705
"{1008,1017} => {1018}",0.0186948105327358,0.30532698137722,1.8931578090622,705
"{1008,1018} => {1017}",0.0186948105327358,0.257017863652935,1.64473114817849,705
"{1004,1017} => {1034}",0.0140542547267376,0.280869104398516,0.978552734291615,530
"{1017,1034} => {1004}",0.0140542547267376,0.297585626052779,1.14664877327847,530
"{1004,1034} => {1017}",0.0140542547267376,0.264339152119701,1.69158217641032,530
"{1004,1017} => {1008}",0.0197555090026783,0.39480657127716,1.19003681635624,745
"{1008,1017} => {1004}",0.0197555090026783,0.322650498051104,1.24322805068,745
"{1004,1008} => {1017}",0.0197555090026783,0.325469637396243,2.08277371387234,745
"{1017,1034} => {1008}",0.0316088144042852,0.6692869174621,2.01738301849678,1192
"{1008,1017} => {1034}",0.0316088144042852,0.516240796881767,1.79859171204807,1192
"{1004,1018} => {1034}",0.011667683169367,0.263473053892216,0.917944598607663,440
"{1018,1034} => {1004}",0.011667683169367,0.273122284295469,1.05238729570516,440
"{1004,1018} => {1008}",0.0189334676884729,0.427544910179641,1.28871761711969,714
"{1008,1018} => {1004}",0.0189334676884729,0.260298942763398,1.00297674778282,714
"{1004,1008} => {1018}",0.0189334676884729,0.311926605504587,1.93407829993152,714
"{1018,1034} => {1008}",0.0289570682294291,0.677839851024209,2.04316350587275,1092
"{1008,1018} => {1034}",0.0289570682294291,0.398104265402844,1.38700202814178,1092
"{1004,1034} => {1008}",0.0252181061228819,0.47431421446384,1.42969093930508,951
"{1004,1008} => {1034}",0.0252181061228819,0.415465268676278,1.44748805867065,951
"{1001,1003,1035} => {1018}",0.0153801278141656,0.877458396369138,5.44061716301818,580
"{1003,1018,1035} => {1001}",0.0153801278141656,0.725,5.31295666537116,580
"{1001,1018,1035} => {1003}",0.0153801278141656,0.641592920353982,7.03550759507677,580
"{1001,1003,1018} => {1035}",0.0153801278141656,0.45958795562599,8.46679110630763,580
"{1001,1009,1035} => {1018}",0.0106865370846703,0.879912663755459,5.45583466999048,403
"{1001,1018,1035} => {1009}",0.0106865370846703,0.445796460176991,3.17496323130019,403
"{1009,1018,1035} => {1001}",0.0106865370846703,0.376283846872082,2.75748934111797,403
"{1001,1009,1018} => {1035}",0.0106865370846703,0.685374149659864,12.6263529837924,403
"{1009,1018,1035} => {1008}",0.0201002360054096,0.707749766573296,2.13331879523983,758
"{1008,1009,1035} => {1018}",0.0201002360054096,0.899169632265718,5.57523610693398,758
"{1008,1018,1035} => {1009}",0.0201002360054096,0.823913043478261,5.86791025167303,758
"{1008,1009,1018} => {1035}",0.0201002360054096,0.675579322638146,12.4459071011271,758
"{1001,1003,1018} => {1004}",0.0135504229535149,0.404912836767036,1.56019903824683,511
"{1001,1003,1004} => {1018}",0.0135504229535149,0.594186046511628,3.68420749753371,511
"{1003,1004,1018} => {1001}",0.0135504229535149,0.721751412429379,5.28915031366582,511
"{1001,1004,1018} => {1003}",0.0135504229535149,0.635572139303483,6.96948559036744,511
"{1001,1003,1018} => {1008}",0.0117207180928642,0.350237717908082,1.0556961537872,442
"{1001,1003,1008} => {1018}",0.0117207180928642,0.685271317829457,4.24897511783405,442
"{1003,1008,1018} => {1001}",0.0117207180928642,0.602179836512262,4.41290396710336,442
"{1001,1008,1018} => {1003}",0.0117207180928642,0.574025974025974,6.29458956280707,442
"{1009,1018,1034} => {1008}",0.0101031529262019,0.83920704845815,2.52956094671931,381
"{1008,1009,1018} => {1034}",0.0101031529262019,0.339572192513369,1.18307529119287,381
"{1008,1009,1034} => {1018}",0.0101031529262019,0.425223214285714,2.63656570765021,381
"{1008,1018,1034} => {1009}",0.0101031529262019,0.348901098901099,2.48487428529921,381
